id,name,position,team,bye_week,adp,pass_yd,pass_td,pass_int,pass_2pt,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fumbles,pat_made,fg_miss,fg_0_39,fg_40_49,fg_50_59,fg_60_plus,sack,blk_kick,def_int,fumble_recovery,safety,krt_td,prt_td,int_ret_td,fum_ret_td,blk_kick_ret_td,two_pt_ret,one_pt_safety
sleeper:9509,Bijan Robinson,RB,ATL,5,1.3,0,0,0,0,1372.0,9.0,1.0,64.0,537.0,3.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:7564,Ja'Marr Chase,WR,CIN,10,1.8,0,0,0,0,16.0,0,0,109.0,1345.0,10.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4866,Saquon Barkley,RB,PHI,9,2.2,0,0,0,0,1220.0,8.0,1.0,35.0,265.0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:9221,Jahmyr Gibbs,RB,DET,8,3.4,0,0,0,0,1191.0,10.0,1.0,60.0,508.0,3.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:3198,Derrick Henry,RB,BAL,7,5.1,0,0,0,0,1406.0,12.0,1.0,15.0,121.0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:6794,Justin Jefferson,WR,MIN,6,5.9,0,0,0,0,6.0,0,0,89.0,1165.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:6813,Jonathan Taylor,RB,IND,11,6.3,0,0,0,0,1385.0,11.0,1.0,36.0,278.0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:9493,Puka Nacua,WR,LAR,8,6.8,0,0,0,0,55.0,1.0,0,107.0,1400.0,10.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:6786,CeeDee Lamb,WR,DAL,10,6.8,0,0,0,0,16.0,0,0,96.0,1249.0,8.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4034,Christian McCaffrey,RB,SF,14,6.9,0,0,0,0,984.0,7.0,0,70.0,606.0,4.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
